Student_ID,Full_Name,CGPA,Soft_Skills_Score,Technical_Skills,Leadership_Score,Experience_Years,No_of_Internships,Projects,Live_Backlogs,No_of_Certifications,Programming_Language,Gender,Branch,Year_of_Passing,Placement_Status,Company_Name
S1014,Sarah Johnson,6.061695553391381,2.2532083400583565,9.26322498368473,6.392348542971279,1.8060366238403158,4,3,0,0,C++,Male,ME,2022,Placed,Amazon
S1015,Emma Smith,5.909124836035503,5.791786140476954,6.5153653963814415,3.929663126971022,1.2038674188058094,2,4,0,1,Python,Female,ECE,2021,Placed,Oracle
S1016,David Miller,5.917022549267169,4.699860423406359,6.005333867413509,4.31526435123861,1.0169868154916897,1,2,1,2,Python,Male,EEE,2020,Not Placed,None
S1017,Emma Wilson,6.521211214797688,4.126089936329584,7.69831912414937,5.723948616365684,1.9545221879005847,4,0,1,4,Python,Male,ECE,2021,Not Placed,None
S1018,David Brown,7.623782158161189,9.098500111185452,8.79731354939842,3.608222275512352,1.490003906861899,2,7,2,3,C#,Female,CS,2020,Placed,Apple
S1019,Mike Smith,7.159725093210579,1.1964105709794055,5.529062538188767,2.2497850433279143,1.4334367287110759,4,0,3,3,C++,Female,EEE,2020,Not Placed,None
S1020,Jane Brown,6.456145700990209,6.9741071755803015,9.015436800983647,3.991471656864264,0.9611150450867298,3,4,1,4,C#,Male,ECE,2022,Placed,Facebook
S1021,Jane Johnson,8.059264473611897,9.670549907921954,5.652935456022728,3.752323730133285,0.9849512717857781,3,0,3,0,Python,Female,ME,2020,Not Placed,None
S1022,Emma Johnson,5.697469303260209,6.041513651156578,9.848526802668463,5.776350640928584,1.7090863288545024,3,6,0,3,JavaScript,Male,ECE,2020,Placed,Microsoft
S1023,Sarah Wilson,6.4607232426760905,9.431402158297827,6.454633911708691,5.739489421249509,2.059309928650689,3,3,1,3,Python,Male,IT,2021,Placed,Apple
S1024,Mike Brown,6.831809216468459,1.470320913574214,4.524556227822098,2.848363237948365,0.6142444175183277,0,7,2,1,C#,Female,ECE,2021,Not Placed,None
S1025,Alex Miller,7.28034992108518,4.769139871667452,3.9571269187522375,5.5415646746816964,0.7542802404941935,2,2,2,1,Python,Male,EEE,2020,Not Placed,None
S1026,Jane Williams,8.925879806965067,3.3414201186584602,6.504934943404489,4.698131701987042,1.634903747440782,2,0,3,1,Python,Male,ECE,2022,Not Placed,None
S1027,Emma Williams,5.998368910791799,7.577388684826568,6.948627521262632,4.682512793669882,1.9987342116291729,3,0,0,3,C#,Female,ME,2021,Placed,IBM
S1028,David Johnson,7.571172192068058,9.83167381447522,3.6569703321659865,1.8901854564367462,1.3208736646814498,0,1,3,3,C#,Male,CS,2023,Not Placed,None
S1029,Lisa Miller,7.962072844310212,3.30877056199823,6.116681709731477,3.7079315318753507,1.6602471433705999,3,1,0,4,JavaScript,Female,IT,2022,Placed,IBM
S1030,Mike Wilson,5.232252063599988,6.88757141326667,6.4079521121162815,3.4199092251642353,1.291092839082127,0,1,2,4,C#,Male,EEE,2021,Not Placed,None
S1031,Emma Johnson,8.037724259507192,2.7828786948376614,6.936036930130035,2.8700172227801835,0.7731224376726116,3,2,3,0,JavaScript,Female,ME,2021,Not Placed,None
S1032,Lisa Wilson,5.8526206184364575,6.087972291144489,5.705062840281077,3.8920468877744634,0.4108537026542853,1,3,2,3,Java,Female,IT,2023,Not Placed,None
S1033,Lisa Wilson,5.325257964926397,5.175392380195026,5.929766127024752,4.987613923517852,0.38886410057814813,1,5,2,4,Java,Female,ECE,2020,Not Placed,None
S1034,Lisa Wilson,9.744427686266667,9.748047966683833,9.57627715517088,7.301200980265882,2.0689070263820994,4,3,0,4,C#,Female,IT,2021,Placed,Oracle
S1035,Emma Smith,9.828160165372797,6.476745454268199,7.199524920652653,4.625932397679532,0.8543726753153685,3,7,3,1,Python,Female,CS,2023,Placed,Oracle
S1036,Lisa Johnson,9.041986740582306,4.145557348781369,7.777126693059017,4.020626665399714,1.2445465586994606,2,3,3,1,C++,Female,IT,2023,Not Placed,None
S1037,John Wilson,6.523068845866853,2.0268620639914,4.519677709224426,5.4221532326333435,1.7090603479544337,4,2,2,1,Python,Male,IT,2021,Not Placed,None
S1038,Alex Johnson,5.48836057003192,2.361221458614411,4.8214965855157175,5.897901396065952,0.7160552853373614,1,6,2,2,C#,Male,ECE,2022,Not Placed,None
S1039,John Davis,8.421165132560784,3.0278523695611157,7.625657319380343,7.373915932721763,2.05560775491315,3,6,0,4,JavaScript,Female,ECE,2021,Placed,Facebook
S1040,Mike Williams,7.200762468698007,3.258699952062682,6.904912406681332,5.592321474219845,1.255649802819994,4,2,1,1,Python,Male,EEE,2023,Placed,Microsoft
S1041,Jane Johnson,5.610191174223894,8.65554452057024,6.5321619041532415,4.61333003536166,1.2786941765988598,3,1,1,1,Java,Female,ECE,2021,Placed,Facebook
S1042,Mike Brown,7.475884550556351,6.051005094542724,5.208574749839034,3.626213159818854,1.4112572500343936,1,0,2,3,C#,Female,IT,2022,Not Placed,None
S1043,David Wilson,5.171942605576092,5.710518202369298,5.760480570374721,7.351656129223063,1.0456334715899263,4,4,1,1,Python,Male,CS,2020,Placed,Microsoft
S1044,John Smith,9.546602010393912,2.0329198468229572,6.9725182196535895,3.278709506459861,1.259425600369553,1,4,1,3,Python,Female,ECE,2020,Placed,Microsoft
S1045,John Miller,6.293899908000085,8.741257240144915,5.0978497918871994,7.137775105762893,1.2245965895423558,0,5,1,0,JavaScript,Male,EEE,2021,Not Placed,None
S1046,Lisa Jones,8.31261142176991,7.5053287288763535,4.695514178247212,5.593453791207249,1.6484017582572508,1,0,1,1,JavaScript,Female,EEE,2021,Not Placed,None
S1047,Alex Wilson,6.558555380447055,1.6090152571000143,4.193498473541515,5.691209951453041,2.0644449607372275,3,5,2,3,JavaScript,Female,IT,2023,Not Placed,None
S1048,Jane Williams,7.600340105889054,7.370515875067918,7.940617642569855,3.176415972975853,0.9790761752505277,2,1,1,1,C++,Male,ECE,2022,Placed,Oracle
S1049,Mike Wilson,7.733551396716399,5.8918439560838145,6.615625975251453,5.844967569133807,1.1295462119844288,1,5,1,0,C#,Female,ECE,2023,Placed,Apple
S1050,Sarah Williams,5.924272277627635,1.7355281117210044,6.466759256909786,4.648290446661306,0.6159402397256988,2,0,0,1,C#,Female,EEE,2023,Not Placed,None
S1051,Alex Smith,9.847923138822793,5.124705773757908,7.821409052317009,3.5055294606768417,0.3868050053220129,0,7,2,3,Java,Female,ECE,2020,Placed,IBM
S1052,Mike Williams,8.875664116805574,5.362266584170423,7.369348804720023,4.133413930217761,1.141333568121261,4,0,3,0,Java,Male,IT,2023,Not Placed,None
S1053,Jane Smith,9.697494707820946,2.4919708614694818,6.858464731849301,7.157172237927512,1.4727809352309458,4,4,3,0,C#,Male,CS,2023,Placed,Amazon
S1054,David Williams,9.474136752138243,9.51128332300254,9.022447931935819,7.210513216179935,1.8127808201880935,2,6,0,0,Python,Male,IT,2020,Placed,Apple
S1055,Mike Wilson,7.989499894055426,8.649778343325957,8.032921034924694,6.011062989246156,1.520750259511439,4,1,0,2,C#,Male,ECE,2020,Placed,Oracle
S1056,Sarah Wilson,9.609371175115584,7.021201035961975,8.032612180565362,3.7348150727712164,1.0928471545021397,1,7,2,3,C++,Male,IT,2022,Placed,Google
S1057,Lisa Johnson,5.442462510259597,5.160660049005465,4.927786418433033,5.089304261557002,1.1500712721724113,2,2,3,2,Java,Female,ME,2022,Not Placed,None
S1058,Sarah Brown,5.979914312095726,4.705889874260577,9.205916644914268,6.715842160885877,1.438374786448103,3,7,1,0,Java,Male,ME,2022,Placed,Facebook
S1059,Mike Brown,5.22613644455269,6.858761204358587,8.59668703188639,5.863526295386651,1.7043580777548373,1,7,0,2,Java,Male,ECE,2021,Placed,Oracle
S1060,Sarah Jones,6.626651653816322,5.908886824662149,3.8426955954180806,4.405665591985889,0.6942317023957869,1,5,3,1,C#,Female,ECE,2020,Not Placed,None
S1061,Jane Brown,6.94338644844741,1.5604579529369706,3.6594307728435074,4.043516897988016,1.190986704284757,1,4,2,2,Java,Female,CS,2021,Not Placed,None
S1062,Emma Smith,6.356745158869479,5.612523838932985,7.784185748733355,5.949333406928064,1.3800940043691705,3,5,1,4,Java,Male,IT,2021,Placed,Google
S1063,Emma Smith,9.143687545759647,8.257632555095554,5.749870932541834,3.984251449191315,0.09171927157152931,0,5,2,0,C#,Female,CS,2022,Not Placed,None
S1064,Sarah Miller,6.7837666334679465,5.133158898372622,5.84719515024124,8.025432611173349,1.733996247436354,4,2,0,0,Python,Female,ECE,2020,Placed,Microsoft
S1065,David Jones,6.404672548436904,1.4676091979884158,6.218023228940338,4.224032391815433,1.7200149935676625,2,1,3,3,Java,Female,ECE,2021,Not Placed,None
S1066,Sarah Brown,7.713480415791242,8.076503794456297,3.142783448152158,2.9139472468165826,0.14812945302253255,0,0,3,1,Java,Male,EEE,2023,Not Placed,None
S1067,Emma Jones,5.704621124873813,2.8122740392237695,6.764374388270237,3.825191488785768,0.6043877710944634,2,3,3,3,Java,Female,CS,2023,Not Placed,None
S1068,Mike Smith,9.010984903770199,3.327587513992349,8.154829864292179,6.892065822033539,1.2304472805899,4,5,3,2,C++,Female,ECE,2020,Placed,Oracle
S1069,Mike Johnson,5.372753218398854,2.482357180890663,7.681027792862778,3.5704517034495256,1.8966001670839592,3,3,1,4,C#,Male,ME,2021,Not Placed,None
S1070,David Wilson,9.934434683002586,3.971935583843478,5.500604964218519,4.376527946789482,1.335993076217107,1,1,1,4,Java,Female,EEE,2022,Placed,Apple
S1071,Lisa Miller,8.861223846483288,7.810763551197716,5.514606167758185,6.033243135116079,1.0975266533591659,1,3,2,4,C++,Female,IT,2021,Placed,Google
S1072,Emma Johnson,5.993578407670862,5.674472735535436,7.467027126556104,4.808027825637387,1.4523396061389486,3,5,1,4,Python,Male,EEE,2023,Placed,Google
S1073,Mike Miller,5.027610585618012,2.843931467356413,3.957472832122516,5.743147252875432,1.3324887220539332,0,2,0,1,Python,Male,IT,2023,Not Placed,None
S1074,Sarah Brown,9.07730714227417,8.900470703368367,6.623227071511348,4.055030976321689,1.1500467357502238,0,3,0,2,C++,Male,ME,2022,Placed,IBM
S1075,Alex Johnson,8.534286719238086,8.916236694563763,5.108110813692718,5.9080438063754865,1.7179133769527077,2,1,3,4,Python,Female,IT,2020,Not Placed,None
S1076,David Williams,8.645035840204937,8.835205825414063,6.831235329468292,4.315645610471831,1.9698934520259814,3,1,0,0,JavaScript,Male,CS,2021,Placed,Oracle
S1077,Jane Wilson,8.85635173342973,3.1491659024338534,4.66685398361647,2.5838737778401306,0.9640757321183371,0,6,2,2,Python,Male,IT,2023,Not Placed,None
S1078,Sarah Williams,5.3702232586704515,5.061154097628893,8.642616504625632,7.4133390944875295,1.4370219364739187,3,6,1,1,JavaScript,Female,IT,2021,Placed,Google
S1079,Alex Johnson,6.792328642721364,9.864906905267876,6.40102624059815,6.333929535654995,2.2970166288784757,4,2,1,4,C++,Female,EEE,2022,Placed,IBM
S1080,Mike Smith,5.579345297625649,7.948112286789914,3.8300488526348815,4.08446515522642,1.639011126404876,1,3,1,1,JavaScript,Female,ME,2022,Not Placed,None
S1081,Mike Smith,9.315517129377968,1.2445067910300383,7.362231922366641,4.065510041672589,0.2857090648875145,1,3,0,4,Python,Female,IT,2020,Placed,IBM
S1082,Jane Jones,8.11649063413779,1.5868413213444286,8.745078967727455,5.6842078562120655,0.32733230989937695,1,6,1,0,Java,Female,CS,2022,Not Placed,None
S1083,Mike Williams,6.654490124263246,5.175382391310995,4.562500944261657,4.3980340624513286,2.188114945362656,3,0,3,2,JavaScript,Male,EEE,2020,Not Placed,None
S1084,Mike Wilson,5.317791751430118,9.182981852754041,4.527931236340998,7.145927847358598,1.165740920766292,3,4,3,0,Python,Male,ME,2021,Not Placed,None
S1085,Jane Wilson,6.554911608578311,5.848316181574428,5.1852995639358985,6.248569814805613,1.8100541594741282,2,1,3,4,Java,Male,ME,2023,Not Placed,None
S1086,Emma Jones,6.625916610133736,5.480312572308612,8.148957260269714,5.58908761659931,0.833192678442104,1,0,0,3,C++,Female,ECE,2023,Not Placed,None
S1087,Mike Brown,8.64803089169032,1.9492632996096753,7.354268062400247,4.571661060709065,0.6786500864140335,2,1,1,2,C++,Male,CS,2020,Not Placed,None
S1088,Lisa Davis,8.187787356776067,6.911020942518647,8.889661867995903,6.202847148692655,0.3706648003140014,1,7,0,1,C#,Female,EEE,2023,Placed,Microsoft
S1089,Mike Johnson,9.436063712881634,8.39892844540203,7.9192361079265465,7.322081968811098,0.7347618486206847,2,7,1,4,C++,Female,EEE,2020,Placed,IBM
S1090,John Davis,7.361074625809747,4.423780067568061,5.802400023201882,2.7470474762210237,0.8748397923010471,2,0,2,0,C#,Male,CS,2020,Not Placed,None
S1091,John Wilson,5.597971229691509,7.980506658327947,5.920404159587356,5.108710815722111,1.7327775308962394,4,7,2,3,C++,Male,ME,2021,Placed,Microsoft
S1092,Alex Miller,8.566223936114975,9.680289885107305,9.755766943150222,4.714045418195722,1.5522468508486753,2,6,0,4,C++,Female,IT,2021,Placed,IBM
S1093,Jane Davis,8.803925243084487,2.833898132149202,7.7374507613793115,3.3141975905385648,2.2295978647279497,3,6,3,1,C++,Female,CS,2022,Placed,IBM
S1094,Lisa Jones,7.806385987847481,5.709966680752672,9.769593437471553,4.460621047509626,1.1622601149337566,2,4,0,0,C#,Male,EEE,2020,Placed,Oracle
S1095,Sarah Williams,8.854835899772805,3.58424162276118,3.599663895723106,3.8885620090259483,1.0272774135146647,1,0,3,2,C#,Male,CS,2021,Not Placed,None
S1096,Emma Davis,7.468977981821954,8.135689771304554,4.880964164346552,6.717678369390645,1.2827235520748834,2,1,1,3,JavaScript,Female,ME,2020,Placed,Oracle
S1097,Lisa Jones,7.61366414690997,6.198340292930418,4.774563300859536,3.821809767082276,0.8091515332319041,0,3,3,4,Python,Female,ECE,2020,Not Placed,None
S1098,Mike Jones,7.137705091792748,6.711241757952734,5.629973304784736,3.228029769398333,1.0266109856566934,1,1,3,4,Python,Female,ECE,2020,Not Placed,None
S1099,Sarah Jones,5.127095633720476,8.181227436543047,7.107284649265107,2.7771203363851997,0.01316213259287674,0,5,1,4,Python,Female,IT,2021,Not Placed,None
S1100,Jane Brown,5.539457134966522,4.563734253962094,4.204059737875511,4.746476441363998,0.25258723316476106,1,6,2,4,C++,Male,IT,2020,Not Placed,None
S1101,Mike Williams,5.157145928433671,9.23581061566339,5.890074341199385,4.353325158257283,0.8964994771891843,3,2,1,0,Python,Male,ME,2020,Placed,Microsoft
S1102,Mike Smith,8.182052056318902,5.797259805215259,8.1467109390469,6.604736160217205,0.9023349051437682,3,2,0,2,C#,Female,IT,2022,Placed,Google
S1103,Jane Williams,6.571779905381634,2.421593405518132,7.027535092745425,8.047239481021144,1.807345363432194,3,6,0,1,JavaScript,Female,ECE,2020,Placed,Facebook
S1104,John Jones,7.542853455823514,7.263092063519222,8.770054027426337,3.7495096577632463,0.30737404877399965,0,5,0,3,Java,Male,ME,2022,Placed,Apple
S1105,David Smith,9.537832369630465,8.13935215394429,9.173940432631825,5.5433266322534696,2.3420711571334194,4,2,0,4,JavaScript,Female,ME,2020,Placed,Apple
S1106,Alex Brown,6.246461145744375,3.85085509360774,8.48648111540436,5.371661182038027,1.6429094943655294,1,7,0,4,Python,Female,ME,2022,Placed,Microsoft
S1107,Jane Miller,7.051914615178148,8.714613312988778,8.141052262890993,8.001426757006932,2.213840006843848,3,6,2,2,Python,Female,CS,2021,Placed,Google
S1108,Alex Smith,8.777755692715242,9.155289292891897,7.667177231705449,6.278313739732758,1.65862195733053,1,2,2,2,C#,Female,IT,2021,Not Placed,None
S1109,David Smith,6.143990827458112,3.4921403864002802,4.0110020049951824,5.800764847738189,0.40783248287778695,0,6,3,0,JavaScript,Female,EEE,2023,Not Placed,None
S1110,Lisa Williams,5.384899549143965,9.851693254436999,10.515841628602958,5.923258586838917,1.7646652670552687,4,4,0,0,C#,Female,ECE,2020,Placed,Oracle
S1111,David Davis,6.44875726456884,2.266403752438826,4.1160978084311335,6.451999624785886,0.2631824552954115,0,3,1,0,C#,Male,IT,2023,Not Placed,None
S1112,Sarah Williams,5.8061064362700225,2.81814101562241,6.256196393795536,3.0244675209016627,1.4593144827586497,1,3,0,3,Java,Female,ECE,2023,Not Placed,None
S1113,Sarah Williams,9.648488261712865,2.658023553142235,5.849969367165215,3.480213925884192,2.332647557716144,4,1,2,0,C#,Male,IT,2022,Placed,Oracle
S1114,Mike Miller,9.040601897822086,9.045907390070834,9.543781062292574,8.665156643602316,2.276933258946272,4,5,0,4,C#,Male,EEE,2021,Placed,Facebook
S1115,Alex Jones,8.167018782552118,6.8886329709246565,5.442204843313309,6.866702166259029,0.6500504230452524,0,6,2,0,Java,Male,ECE,2020,Not Placed,None
S1116,Jane Johnson,9.357302950938589,2.3689385490004558,4.452998414456818,2.628154719325804,1.8880108270301714,3,0,3,3,C++,Female,EEE,2020,Not Placed,None
S1117,Emma Smith,9.018360384495573,4.962910765315141,7.27787384885816,2.526949212688782,0.39636875436440416,1,1,3,0,C++,Female,ECE,2022,Not Placed,None
S1118,John Smith,5.932850294430179,6.5376822256282185,3.271887000667002,1.9315046636364284,0.5603671559288761,2,1,3,0,Java,Female,CS,2023,Not Placed,None
S1119,Lisa Miller,9.46279499244989,1.7511767649044496,8.09276466422508,3.5014080291840086,1.6298546214631413,2,6,2,4,C#,Male,CS,2022,Placed,Amazon
S1120,John Brown,7.696711209578254,8.94174731566605,9.498222142069393,4.298314065848093,0.6380329114930255,0,6,0,4,Python,Male,ECE,2023,Placed,Oracle
S1121,Emma Johnson,9.037200775820313,8.232431818973817,5.059594828930366,7.659118630157515,1.7433238971093536,1,1,0,4,JavaScript,Female,ECE,2020,Placed,Microsoft
S1122,Emma Johnson,9.480456499617466,5.5468609621897444,7.475020527843536,5.898744227987379,0.3958813237832986,1,1,1,0,Python,Female,EEE,2022,Not Placed,None
S1123,John Brown,6.590017374859319,9.704139537332534,4.340402356313203,5.6924256344021344,1.2834415223028506,0,3,2,4,Python,Male,ME,2023,Not Placed,None
S1124,Alex Williams,5.550259622638384,4.759848813475897,3.120816515858106,5.516765633099809,0.9699745982934875,1,0,1,2,C#,Male,ECE,2022,Not Placed,None
S1125,Sarah Smith,6.139675812709708,9.85699287132848,6.590371416555026,5.581187068537833,1.9907252932558155,3,7,3,1,JavaScript,Male,IT,2021,Placed,Amazon
S1126,John Jones,7.135538943131282,7.011279989232643,8.168822002286085,6.251414060031794,1.2256909232552173,0,1,0,1,JavaScript,Female,IT,2022,Not Placed,None
S1127,Mike Brown,9.090073829612464,6.712041459285473,5.872489948082285,6.505850785399111,2.123988002043116,3,7,2,4,C++,Male,IT,2020,Placed,Apple
S1128,Lisa Jones,9.303652916281717,2.493594057662065,6.868441063472872,4.2423045953331435,0.6967750169291542,1,3,1,3,Java,Male,CS,2022,Not Placed,None
S1129,Mike Miller,5.034760652655954,8.937349824741796,4.9770967238227435,4.4130033457976685,1.4246990301930045,0,1,1,4,C#,Male,EEE,2020,Not Placed,None
S1130,David Brown,7.553736512887829,4.847407191285536,7.655483325884458,4.916572753989526,0.4775004405364304,1,2,1,4,JavaScript,Female,CS,2020,Not Placed,None
S1131,David Wilson,7.0870550157438945,2.460100652042314,3.446207325079171,5.810663498002165,0.12295316639023579,0,1,0,0,C#,Female,IT,2022,Not Placed,None
S1132,Alex Brown,6.110539052353651,1.1134676797818313,7.3995338884596435,7.313189199448539,0.8974232760585237,1,6,0,3,C++,Female,ECE,2022,Not Placed,None
S1133,David Smith,5.599326836668414,6.037801152745443,8.71530123653022,5.5714462903819815,1.9924844529627639,3,5,0,4,Python,Male,IT,2022,Placed,Apple
S1134,Alex Smith,6.68807585701814,5.746596599104087,7.494385914659007,6.424961702222825,1.4601316959501685,3,5,2,2,JavaScript,Male,ECE,2021,Placed,Oracle
S1135,John Miller,9.714548519562596,7.474182601322427,9.445520062781677,3.8895677904053576,1.4939300162957712,1,1,0,1,C++,Male,EEE,2021,Placed,Facebook
S1136,David Jones,6.616014660103776,9.01232247716022,7.024698973727703,5.758744345765262,1.094530208691458,0,4,2,2,C#,Male,ME,2023,Not Placed,None
S1137,Sarah Brown,7.59395310871683,1.7146592617872658,4.166800669059198,4.345078229571682,0.8141425792084003,2,2,1,2,C++,Female,ECE,2022,Not Placed,None
S1138,Mike Brown,8.515094794475889,7.583468413063261,7.402650150620656,3.6664915595350567,2.1733224373491957,3,0,1,2,C++,Male,CS,2023,Placed,Facebook
S1139,Mike Miller,6.81814801189647,2.68670749687824,4.422992509030056,3.467235151107332,0.8411717529441052,3,1,3,3,C++,Male,IT,2023,Not Placed,None
S1140,Alex Johnson,9.858910413604804,8.723593478414475,8.685880086909444,7.491778374147923,1.8474195613156925,2,7,0,3,C++,Female,IT,2020,Placed,Amazon
S1141,John Davis,9.812236474710556,8.371571624754905,6.506927538931183,3.521570926902691,0.706665173485561,1,0,1,3,C++,Male,IT,2023,Placed,Oracle
S1142,Lisa Davis,6.258911479126821,5.867143794869899,5.3486813292275315,6.608034901599042,0.750222124746599,0,2,0,1,C++,Male,ECE,2022,Not Placed,None
S1143,Jane Wilson,7.4862425294619275,7.392185187609804,5.305041220793186,2.636737529314769,0.8835278090511017,1,1,2,0,Java,Male,EEE,2021,Not Placed,None
S1144,Lisa Johnson,6.504391549083849,3.8291510186537354,9.904859437295425,7.808893390534583,1.2577518353753743,4,4,1,4,C#,Female,ECE,2023,Placed,Apple
S1145,Lisa Johnson,6.424202471887338,5.240511090395332,5.561608332443982,6.596343797004883,1.2872202996025397,3,3,0,4,Python,Male,CS,2023,Placed,Facebook
S1146,David Williams,5.184434736772664,8.394732079394245,9.789791605611715,5.196050221449811,1.2894016544391929,4,4,1,0,C#,Female,IT,2021,Placed,Facebook
S1147,Jane Wilson,8.047821669899484,5.133386774558925,7.769694066547861,5.45126959964607,1.0558297131907857,3,6,1,4,JavaScript,Male,ECE,2023,Placed,Apple
S1148,Lisa Williams,7.5133951161443076,4.220184387928976,8.307797260054464,6.959240363363929,1.0305852540395706,3,4,0,2,JavaScript,Female,IT,2022,Placed,Oracle
S1149,David Jones,5.257393756249947,5.447912025252699,9.434497797705385,6.455791483919034,1.7335260705198914,4,7,1,1,C#,Female,CS,2023,Placed,Apple
S1150,Lisa Wilson,6.393232321183057,8.454243271934965,7.311449241965271,6.765746653293267,2.196897051266973,4,3,1,4,C++,Female,ME,2020,Placed,Google
S1151,Emma Davis,9.541329429833269,4.016872426337855,6.5769805315261225,4.8387919900170795,1.1034550506418614,1,6,1,1,Java,Male,ME,2023,Placed,IBM
S1152,Emma Williams,6.197809453334862,2.5638543382216943,6.760693591394249,5.456323436971719,2.3398098828262626,4,3,1,0,Python,Male,ME,2020,Placed,Facebook
S1153,Alex Smith,5.7244743604561155,7.408126182977027,4.99398371832968,6.709212501244746,1.2048167328650863,1,5,2,4,C++,Female,IT,2021,Not Placed,None
S1154,Lisa Johnson,7.447263801387815,8.433803914372735,8.642241059566288,3.948502362345767,1.2840101734489067,1,3,1,1,C#,Female,ECE,2021,Placed,Amazon
S1155,Mike Brown,9.928252270553003,1.9057373067118,6.593663105282021,3.857526961170508,1.2514108445905048,1,1,3,2,C#,Male,IT,2023,Not Placed,None
S1156,Jane Brown,6.210276357557502,3.1588670148035023,4.558790508874471,4.0433859406397765,1.4241887897756118,3,0,1,2,Java,Female,EEE,2023,Not Placed,None
S1157,Mike Miller,8.360677737029393,2.277747907848945,6.281963113879805,7.25263181431237,1.7840082333001241,3,5,0,0,Java,Male,ECE,2021,Placed,Oracle
S1158,Mike Davis,8.808098076643589,4.131472704239499,6.6726207829248985,6.592561794299767,1.1045616197034418,4,5,3,3,C#,Male,CS,2020,Placed,Microsoft
S1159,Lisa Wilson,6.188187719961999,5.053158810148714,4.051970566673742,3.758512306598344,2.039777207873495,3,0,2,4,C++,Female,ME,2021,Not Placed,None
S1160,Lisa Williams,8.641081743059297,7.739437032669758,8.768932489056331,4.2931399000586055,2.166718215165876,4,7,3,2,C++,Female,ECE,2021,Placed,Microsoft
S1161,Alex Williams,6.838915663596266,6.860328263935067,4.85398732791017,2.8685564795451484,1.117844937347518,3,5,3,2,C++,Male,ECE,2020,Not Placed,None
S1162,Jane Jones,8.161529152967898,6.588357107305881,4.995031381105475,3.763747207875479,1.1520486813811237,0,3,3,0,Python,Male,ME,2021,Not Placed,None
S1163,Sarah Davis,8.167648553804474,4.171374519486889,4.300881681032191,4.7017641242081325,0.01896390210002774,0,4,0,2,Python,Male,CS,2023,Not Placed,None
S1164,Mike Wilson,7.678873420373792,8.57302797776284,7.862611810273279,8.658959605389613,1.3258698587213207,4,2,0,4,C++,Female,IT,2023,Placed,Apple
S1165,John Williams,5.451448850272041,5.241584506583481,8.91644080895633,5.969785935907921,0.8477058580063439,3,7,0,0,C#,Male,IT,2021,Placed,IBM
S1166,David Davis,9.17651247794619,9.81194444213639,7.718018453319118,4.8037846770230175,1.920340374926842,3,3,2,1,Java,Female,ECE,2023,Placed,Oracle
S1167,Sarah Smith,6.603900324858679,6.707279244661631,9.523537629817959,7.398860573905673,1.3838112267675808,1,6,0,0,JavaScript,Female,ME,2022,Placed,Oracle
S1168,Mike Davis,5.932592551999271,2.1363826740805245,8.829894101921395,5.4575726607057575,1.720454035702746,2,6,0,4,Java,Male,EEE,2021,Placed,Amazon
